,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes,lang
41,['1651927459208757249'],1651927459208757249,"hey tweeps do you know that cocacola needs to take responsibility for all the unscrupulous activities at the bottling plants.  wakeup cocacola
 incometaxindia
mofpi_goi
upgovt ",,,en
42,['1651927458026000385'],1651927458026000385,never ever expected this kind of things needs to taken care of wakeup cocacola cocacola,,,en
43,['1651927430565859330'],1651927430565859330,"the fact that an employee of the bottling unit was sacked for using fake concentrate is just the tip of the iceberg.  who else is involved in this deceitful scheme? cocacola wakeup cocacola
mofpi_goi
upgovt ",,,en
45,['1651927398672375811'],1651927398672375811,"same bottler who was involved in it raids earlier was found using fake concentrate creating a major public safety and health hazard.  wakeup cocacola
 cocacola
pmoindia
cbitweets ",,,en
46,['1651927389151309825'],1651927389151309825,all internal reports need to be made public to ensure public safety.  cocacola wakeup cocacola ,,,en
48,['1651927372403445761'],1651927372403445761,we can't ignore the challenges we face within our own walls. it's time for cocacola to step up . wakeup cocacola,,,en
49,['1651927367387058177'],1651927367387058177,"every people knows that cocacola needs to take responsibility for all the unscrupulous activities at the bottling plants.  wakeup cocacola
 incometaxindia
mofpi_goi
upgovt ",,,en
0,['1651927352170119168'],1651927352170119168,"if the bottlers of cocacola are willing to resort to such deceitful tactics, what else are they capable of?  the implications are downright terrifying.
wakeup cocacola",,,en
1,['1651927350534348811'],1651927350534348811,"ithuvaraikum coco cola vuku than inthalavuku 3 billion transaction nadanthurathy apdinu solranva neenvale intba article la padichu pakkalam
wakeup cocacola
cocacola
pmoindia
cbitweets
",,,en
2,['1651927320964534272'],1651927320964534272,"all frauds perpetrated by its bottler and inform authorities of any possible health hazard.  cocacola wakeup cocacola
cbitweets
upgovt ",,,en
3,['1651927316669554688'],1651927316669554688,"cocacola wake up. you should do some responsibile things. what are you doing
guys share your views 

wakeupcocacola",,,en
4,['1651927313456730112'],1651927313456730112,plants have been shut down in peak of summer. senior employees have been sacked. promoters of bottling companies asked to step down.  cocacola wakeup cocacola  ,,,en
5,['1651927312718520320'],1651927312718520320,very bad and sad thing this has been wakeup cocacola cocacola,,,en
6,['1651927309581180929'],1651927309581180929,"if the bottlers of cocacola are willing to resort to such deceitful tactics, what else are they capable of?  the implications are downright terrifying.
wakeup cocacola
incometaxindia
upgovt ",,,en
7,['1651927305877606401'],1651927305877606401,"same bottler who was involved in it raids earlier was found using fake concentrate creating a major public safety and health hazard.  wakeup cocacola
 cocacola
pmoindia
cbitweets ",,,en
8,['1651927293261119488'],1651927293261119488,"we have to say that the cocacola needs to take responsibility for all the unscrupulous activities at the bottling plants.  wakeup cocacola
 incometaxindia
mofpi_goi
upgovt ",,,en
9,['1651927284050464768'],1651927284050464768,"cocacola wake up. you should do some responsibile things. what are you doing
guys share your views 

wakeupcocacola",,,en
10,['1651927282280435750'],1651927282280435750,"while you are busy patting yourselves on the returned for producing revenue, your managers are the usage of faux listen to retailer on prices and make cash and play with public security and health. cocacola
wakeup cocacola
cbitweets
upgovt",,,en
11,['1651927273703108614'],1651927273703108614,"there are so many people who have trust on  cocacola from so many years, this is really disappointing to hear such news about the management issues. upgovt
wakeup cocacola 
",,,en
12,['1651927269198417920'],1651927269198417920,"everyone interesting very beautiful very awesome and very best cocacola needs   responsibility for the unscrupulous activities happening at its bottling plants.  wakeup cocacola
 incometaxindia mofpi_goi
upgovt
",,,en
13,['1651927266212081664'],1651927266212081664,"same bottler who was involved in it raids earlier was found using fake concentrate creating a major public safety and health hazard.  wakeup cocacola
 cocacola
pmoindia
cbitweets ",,,en
14,['1651927260084191232'],1651927260084191232,"we have to say that the cocacola needs to take responsibility for all the unscrupulous activities at the bottling plants.  wakeup cocacola
 incometaxindia
mofpi_goi
upgovt ",,,en
15,['1651927256984588289'],1651927256984588289,this is totally bad and unfair wakeup cocacola cocacola,,,en
16,['1651927256309338112'],1651927256309338112,".  who knows what else they're hiding? cocacola
wakeup cocacola 
cbitweets
upgovt",,,en
17,['1651927242786897922'],1651927242786897922,take care of their policies wakeup cocacola cocacola,,,en
